event_id,event_timestamp,component,symptom_observation,diagnosis,action_taken,error_code,outcome,language
E554-SYN-001,2026-07-01T07:42:00Z,User Interface Terminal (UIT),UIT screen is blank and not lit up,No AC power at the PoE power supply,Restore AC power and replace failed fuses F3 and F4,,Resolved,EN
E554-SYN-002,2026-07-08T06:55:00Z,User Interface Terminal (UIT),UIT screen is blank and not lit up,No AC power at the PoE power supply,Restore AC power and replace failed fuses F3 and F4,,Resolved,EN
E554-SYN-003,2026-07-09T10:18:00Z,Stop discs,Machine stops in the middle of a cut and displays Machine Paused,Intermittent pause circuit in the stop discs,Tighten the pause plunger to increase activation pressure,,Resolved,EN
E554-SYN-004,2026-07-10T09:05:00Z,Touch screen,Touch screen buttons are out of alignment,Touch screen calibration is lost,Calibrate the touch screen from the Power On Setup screens,,Resolved,EN
E554-SYN-005,2026-07-11T11:23:00Z,Pen air cylinder,Pen or tool is delayed coming down at the beginning of a cut,Failed 24 VDC power supply fuse,Replace the 24 VDC power supply fuse and verify the green LED,,Resolved,EN
E554-SYN-006,2026-07-14T08:37:00Z,Laser fume extractor,Laser fume extractor has reduced vacuum,Saturated vacuum filters,Replace the vacuum filters,,Resolved,EN
E554-SYN-007,2026-07-15T12:14:00Z,Brass laser nozzle,Laser cutting path is too wide,Bent brass laser nozzle,Replace the damaged brass laser nozzle,,Resolved,EN
E554-SYN-008,2026-07-16T13:46:00Z,Laser focusing lens,Laser cutting power decreases and causes non-cut edges,Dirty focusing lens,Clean the focusing lens with approved lens tissue,,Resolved,EN
E554-SYN-009,2026-07-17T07:31:00Z,Laser beam deflecting mirrors,Laser cutting power decreases and causes non-cut edges,Dirty or burned beam deflecting mirror,Clean or replace the beam deflecting mirror,,Resolved,EN
E554-SYN-010,2026-07-18T15:02:00Z,Laser nozzle,Laser cutting power decreases and causes non-cut edges,Debris in the laser nozzle,Clean or replace the laser nozzle,,Resolved,EN
E554-SYN-011,2026-07-21T10:49:00Z,Gantry drive,Processed cut pieces have accuracy issues,Excessive gantry backlash,Adjust the gantry backlash screws and recheck backlash,,Resolved,EN
